,0_cos,1_cos,LABEL
0,1.8403244210486005,3.0557892576160457,0.0
1,1.8648233097436666,3.1443104846901266,0.0
2,1.640282905409438,2.3281911259364665,0.0
3,1.6100887677247544,3.0429146851173385,0.0
4,1.8439531571210028,2.791024142987378,0.0
5,1.6980912274708428,2.974342661422249,0.0
6,1.6793101551117102,2.2018815686501623,0.0
7,1.852965681974589,2.9530019850775275,0.0
8,1.5102653737173652,2.6737753245674014,0.0
9,1.512710542034502,2.417889741566783,0.0
10,1.5970036510649164,2.714139467153783,0.0
11,1.2278041249209646,0.8487695184984886,0.0
12,1.559208863263117,0.8653600628613485,0.0
13,0.04348450448952139,-3.18664610001456,0.0
14,1.5807774920513706,2.775433935077593,0.0
15,1.6691721286985384,1.9578964163513621,0.0
16,1.7745631615078175,3.226195931455991,0.0
17,1.8936905479894766,2.557347704857245,0.0
18,1.6122027865237614,2.076699961650695,0.0
19,1.7078360729457278,2.8594102575609983,0.0
20,1.3929926098032757,0.01972412135068028,0.0
21,1.5648701509878158,1.9362027592622468,0.0
22,1.6099328214325248,2.720574201525785,0.0
23,1.7778011391094852,2.9978428776792962,0.0
24,1.876005960965725,2.982446941407893,0.0
25,1.6695418071797103,2.997674222040805,0.0
26,1.4980199759177124,2.4895665103397047,0.0
27,1.4914743252203515,1.683804919476559,0.0
28,1.7033383173993413,2.987804267576093,0.0
29,1.9402415271825728,3.1533556515442545,0.0
30,1.769462252677384,3.0819129118981516,0.0
31,1.7691097014517907,3.040126850610573,0.0
32,1.5581372148967105,1.6913856158202485,0.0
33,1.4614419823991578,1.5241499117133661,0.0
34,1.5684822019641,1.3356955561021358,0.0
35,1.7304487303160825,2.727194695158898,0.0
36,1.7177604785819767,3.1213508611905487,0.0
37,1.661317155354642,2.564144059180119,0.0
38,1.8081170547612173,3.16572857831411,0.0
39,1.7095729408520695,2.9329614368066554,0.0
40,0.6342097378098753,0.534743816106432,1.0
41,-0.5546402620797676,0.3910365833289635,1.0
42,0.4467018334080937,0.3801147003704967,1.0
43,0.6251313717830739,0.27248279371843087,1.0
44,0.48263446159278844,-0.08390556531582265,1.0
45,0.2670401259534716,-0.07524413555921403,1.0
46,0.6111851181516024,0.3550426063556703,1.0
47,0.6104248300291064,0.3941026724832863,1.0
48,0.6592096448280236,0.17735845040690995,1.0
49,0.6381196438616112,0.24696896530061235,1.0
50,0.5156982136025683,0.27971042086919895,1.0
51,0.6166614219951174,0.3967728182140337,1.0
52,0.6748645972252272,0.4238937279816122,1.0
53,0.6635362048382144,0.36368331590818453,1.0
54,-0.20106405060449534,-0.335152671193921,1.0
55,0.426522781887818,0.25290184981010255,1.0
56,0.44945535453780977,0.13444720207554078,1.0
57,0.7143492483389479,0.06822406702032069,1.0
58,0.6359482855590312,0.3048037870080469,1.0
59,0.38289092412689696,0.06130880478251683,1.0
60,0.01343969589007074,-0.32088647794744757,1.0
61,0.7939927126084456,0.3059917140501941,1.0
62,0.5239419768927491,0.3200029346892014,1.0
63,0.8018303663301103,0.37519161053043704,1.0
64,0.4932570933831039,0.268138829237275,1.0
65,0.7056007508620535,0.3289359348494843,1.0
66,0.540061591477226,0.4643968827902307,1.0
67,0.6842417473360939,0.22806570625944028,1.0
68,0.6132935847997303,0.23561053336326598,1.0
69,0.5586018361060396,0.18074172891369347,1.0
70,0.6749810616066811,0.2583589695031887,1.0
71,0.44748750452918,0.32813607002619094,1.0
72,0.5530657273462286,0.25462861091114863,1.0
73,0.5251626945777824,0.36993080364176634,1.0
74,0.480569243061121,0.36627295393125375,1.0
75,0.40508712508558503,0.3530804293811015,1.0
76,0.6749651509111252,0.1394161279607595,1.0
77,0.6554266049289305,0.20793730410161285,1.0
78,0.4103076088345341,0.36066750808413695,1.0
79,0.4754470847991852,0.376071131583525,1.0
